cluster,size,size_pct,avg_recency_days,avg_frequency,avg_monetary,median_monetary,high_value_pct,recency_percentile,frequency_percentile,monetary_percentile,segment_name
1,25389,26.316116794676454,320.40805824290686,1.0,508.0523116310213,294.7,8.838473354602387,304.10979166673496,1.0,294.7,At Risk
2,26486,27.453175368222478,117.59213592007711,1.0,124.88817375217096,100.595,0.04153137506607264,114.51318865758367,1.0,100.595,Need Attention
0,44602,46.23070783710107,370.78064437221076,1.0,80.02852181516523,73.34,0.0,344.1332638890017,1.0,73.34,At Risk
